PROLIFIC_PID,Question,qns_options,quest_num,answer,answer_num,question_load_timestamp,next_btn_timestamp,text_selected,final_text_selected,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id,Demographic_Submission id,Demographic_Status,Demographic_Started at,Demographic_Completed at,Demographic_Reviewed at,Demographic_Archived at,Demographic_Time taken,Demographic_Completion code,Demographic_Total approvals,Demographic_Age,Demographic_Sex,Demographic_Ethnicity simplified,Demographic_Country of birth,Demographic_Country of residence,Demographic_Nationality,Demographic_Language,Demographic_Student status,Demographic_Employment status,Demographic_Custom study tncs accepted at
63ed2115f26baf8010950f68,<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,1/94,Somewhat disagree,2,1708008480760,1708008487729,\Somewhat disagree\,\Somewhat disagree\,\2\,1708008486549,1708008486549,5789,5789,6969,buq,qns-item-noham,1,23796,0.0-1.0-0.0,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>Most people just believe whatever is convenient for them.,Highly disagree,2/94,Somewhat disagree,2,1708008487730,1708008490527,\Somewhat disagree\,\Somewhat disagree\,\2\,1708008489984,1708008489984,2254,2254,2797,buq,qns-item-noham,2,26594,0.0-1.0-0.1,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,3/94,Somewhat agree,3,1708008490530,1708008492421,\Somewhat agree\,\Somewhat agree\,\3\,1708008491932,1708008491932,1402,1402,1891,buq,qns-item-noham,3,28488,0.0-1.0-0.2,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>Political questions are usually pretty complicated.,Highly disagree,4/94,Highly agree,4,1708008492422,1708008496230,\Somewhat agree\,\Highly agree\,\3\,1708008492965,1708008495198,543,2776,3808,buq,qns-item-noham,4,32297,0.0-1.0-0.3,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,5/94,Somewhat agree,3,1708008496232,1708008498626,\Somewhat agree\,\Somewhat agree\,\3\,1708008497531,1708008497531,1299,1299,2394,buq,qns-item-noham,5,34693,0.0-1.0-0.4,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,6/94,Somewhat agree,3,1708008498627,1708008499744,\Somewhat agree\,\Somewhat agree\,\3\,1708008499205,1708008499205,578,578,1117,buq,qns-item-noham,6,35811,0.0-1.0-0.5,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>People?s false beliefs are understandable.,Highly disagree,7/94,Somewhat agree,3,1708008499745,1708008504887,\Somewhat disagree\,\Somewhat agree\,\2\,1708008503306,1708008504430,3561,4685,5142,buq,qns-item-noham,7,40954,0.0-1.0-0.6,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>I spend a lot of time trying to be informed about politics.,Highly disagree,8/94,Somewhat disagree,2,1708008504888,1708008507517,\Somewhat disagree\,\Somewhat disagree\,\2\,1708008507037,1708008507037,2149,2149,2629,buq,qns-item-noham,8,43584,0.0-1.0-0.7,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>I think a lot about whether my beliefs are right.,Highly disagree,9/94,Somewhat agree,3,1708008507520,1708008509008,\Somewhat agree\,\Somewhat agree\,\3\,1708008508119,1708008508119,599,599,1488,buq,qns-item-noham,9,45075,0.0-1.0-0.8,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
63ed2115f26baf8010950f68,<b>Statistics can be pretty misleading sometimes.,Highly disagree,10/94,Somewhat disagree,2,1708008509009,1708008548221,\Somewhat disagree\,\Somewhat disagree\,\2\,1708008509863,1708008509863,854,854,39212,buq,qns-item-noham,10,84288,0.0-1.0-0.9,65ce21a84359fb1c228c66a0,AWAITING REVIEW,2024-02-15T14:47:27.738000Z,2024-02-15T14:58:27.263000Z,,2024-02-15T14:58:27.907857Z,660.0,CVPIIDEI,1533,22,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
