PROLIFIC_PID,Question,qns_options,quest_num,answer,answer_num,question_load_timestamp,next_btn_timestamp,text_selected,final_text_selected,option_num_selected,preview_timestamps,final_text_selected_time_stamp,rt_first_option_click,rt_final_option_click,rt_submit_click,questionnaire,trial_type,trial_index,time_elapsed,internal_node_id,Demographic_Submission id,Demographic_Status,Demographic_Started at,Demographic_Completed at,Demographic_Reviewed at,Demographic_Archived at,Demographic_Time taken,Demographic_Completion code,Demographic_Total approvals,Demographic_Age,Demographic_Sex,Demographic_Ethnicity simplified,Demographic_Country of birth,Demographic_Country of residence,Demographic_Nationality,Demographic_Language,Demographic_Student status,Demographic_Employment status,Demographic_Custom study tncs accepted at
6556364a457cabc2f54b1063,<b>Knowing what?s true and knowing what to do about it are usually basically the same.,Highly disagree,1/94,Somewhat disagree,2,1708006059771,1708006085680,\Somewhat disagree\,\Somewhat disagree\,\2\,1708006084617,1708006084617,24846,24846,25909,buq,qns-item-noham,1,50720,0.0-1.0-0.0,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>Most people just believe whatever is convenient for them.,Highly disagree,2/94,Somewhat agree,3,1708006085700,1708006093498,\Somewhat agree\,\Somewhat agree\,\3\,1708006092586,1708006092586,6886,6886,7798,buq,qns-item-noham,2,58539,0.0-1.0-0.1,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>Having some big beliefs helps me sort out minor ones.,Highly disagree,3/94,Highly agree,4,1708006093505,1708006100531,\Highly agree\,\Highly agree\,\4\,1708006099451,1708006099451,5946,5946,7026,buq,qns-item-noham,3,65571,0.0-1.0-0.2,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>Political questions are usually pretty complicated.,Highly disagree,4/94,Somewhat agree,3,1708006100535,1708006120331,\Somewhat agree\,\Somewhat agree\,\3\,1708006118277,1708006118277,17742,17742,19796,buq,qns-item-noham,4,85371,0.0-1.0-0.3,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>Figuring out what?s important in life requires learning a lot of facts.,Highly disagree,5/94,Somewhat agree,3,1708006120337,1708006136606,\Somewhat agree\,\Somewhat agree\,\3\,1708006135740,1708006135740,15403,15403,16269,buq,qns-item-noham,5,101646,0.0-1.0-0.4,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>It is difficult for me to remember the last time I was surprised by politics.,Highly disagree,6/94,Somewhat agree,3,1708006136611,1708006143099,\Somewhat agree\,\Somewhat agree\,\3\,1708006142088,1708006142088,5477,5477,6488,buq,qns-item-noham,6,108140,0.0-1.0-0.5,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>People?s false beliefs are understandable.,Highly disagree,7/94,Somewhat agree,3,1708006143106,1708006149457,\Somewhat agree\,\Somewhat agree\,\3\,1708006148346,1708006148346,5240,5240,6351,buq,qns-item-noham,7,114497,0.0-1.0-0.6,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>I spend a lot of time trying to be informed about politics.,Highly disagree,8/94,Somewhat disagree,2,1708006149462,1708006154448,\Somewhat disagree\,\Somewhat disagree\,\2\,1708006153436,1708006153436,3974,3974,4986,buq,qns-item-noham,8,119488,0.0-1.0-0.7,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>I think a lot about whether my beliefs are right.,Highly disagree,9/94,Somewhat agree,3,1708006154453,1708006160714,\Somewhat agree\,\Somewhat agree\,\3\,1708006159811,1708006159811,5358,5358,6261,buq,qns-item-noham,9,125754,0.0-1.0-0.8,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>Statistics can be pretty misleading sometimes.,Highly disagree,10/94,Somewhat agree,3,1708006160719,1708006165583,\Somewhat agree\,\Somewhat agree\,\3\,1708006164766,1708006164766,4047,4047,4864,buq,qns-item-noham,10,130623,0.0-1.0-0.9,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>I have lots of beliefs that I?m only sort of sure about.,Highly disagree,11/94,Somewhat disagree,2,1708006165588,1708006173413,\Somewhat disagree\,\Somewhat disagree\,\2\,1708006172697,1708006172697,7109,7109,7825,buq,qns-item-noham,11,138453,0.0-1.0-0.10,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,"<b>If I go to my favorite restaurant and the food is surprisingly bad, it reminds me there are many disappointments in life.",Highly disagree,12/94,Somewhat agree,3,1708006173418,1708006180808,\Somewhat agree\,\Somewhat agree\,\3\,1708006179793,1708006179793,6375,6375,7390,buq,qns-item-noham,12,145848,0.0-1.0-0.11,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,"<b>If you are paying attention, please select ?Somewhat agree?",Highly disagree,13/94,Somewhat agree,3,1708006180812,1708006185689,\Somewhat agree\,\Somewhat agree\,\3\,1708006184729,1708006184729,3917,3917,4877,buq,qns-item-noham,13,150729,0.0-1.0-0.12,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,"<b>When I talk to others, I often worry I?ll convince them of something I didn?t mean to.",Highly disagree,14/94,Somewhat disagree,2,1708006185695,1708006198079,\Somewhat disagree\,\Somewhat disagree\,\2\,1708006196382,1708006196382,10687,10687,12384,buq,qns-item-noham,14,163119,0.0-1.0-0.13,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>I would need to learn something utterly shocking about my party in order to change my political views.,Highly disagree,15/94,Somewhat agree,3,1708006198083,1708006220631,\Somewhat agree\,\Somewhat agree\,\3\,1708006216209,1708006216209,18126,18126,22548,buq,qns-item-noham,15,185671,0.0-1.0-0.14,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,"<b>When I have new experiences, I tend to think of them as unique.",Highly disagree,16/94,Highly agree,4,1708006220635,1708006227937,\Highly agree\,\Highly agree\,\4\,1708006226834,1708006226834,6199,6199,7302,buq,qns-item-noham,16,192977,0.0-1.0-0.15,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>I change my mind about specific policies pretty frequently.,Highly disagree,17/94,Highly disagree,1,1708006227941,1708006236499,\Highly disagree\,\Highly disagree\,\1\,1708006233565,1708006233565,5624,5624,8558,buq,qns-item-noham,17,201539,0.0-1.0-0.16,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,"<b>If a politician in my political party supports something I disagree with, I give them the benefit of the doubt, as such issues often involve hidden complexities that aren?t obvious.   ",Highly disagree,18/94,Somewhat agree,3,1708006236504,1708006247476,\Somewhat agree\,\Somewhat agree\,\3\,1708006246458,1708006246458,9954,9954,10972,buq,qns-item-noham,18,212516,0.0-1.0-0.17,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
6556364a457cabc2f54b1063,<b>People?s bad politics are usually motivated by hatefulness.,Highly disagree,19/94,Somewhat disagree,2,1708006247480,1708006260285,\Somewhat disagree\,\Somewhat disagree\,\2\,1708006259300,1708006259300,11820,11820,12805,buq,qns-item-noham,19,225325,0.0-1.0-0.18,65ce1a6e25cd65224d5f17aa,AWAITING REVIEW,2024-02-15T14:06:48.901000Z,2024-02-15T14:25:06.549000Z,,2024-02-15T14:25:07.362737Z,1098.0,CVPIIDEI,280,35,Female,Mixed,United States,United States,United States,English,No,Part-Time,Not Applicable
